state,export,role,panel,method,mean_delta_mse,energy_distance,response_loss,without_own_response_loss,identity_advantage,output_change_mse
B-interface,external,external,unseen,global_mean,2.2337618619203568,16.29416275024414,18.52792501449585,18.52792501449585,,
B-interface,external,external,unseen,model,21.312305450439453,129.21956253051758,150.53186798095703,150.53186798095703,-0.029221153259278765,0.003221529122674838
B-interface,external,external,unseen,no_change,2.4763063788414,18.013179779052734,20.48948609828949,20.48948609828949,,
B-interface,external,val,all,global_mean,4.747498432803437,20.27004016061204,25.01753860605073,24.991051109417253,,
B-interface,external,val,all,model,5.8973786427757835,27.15835335108927,33.055732056098826,33.03020194661852,0.2685217589952224,0.024111531669543728
B-interface,external,val,all,no_change,4.877595749017426,20.475006116899213,25.35260181546128,25.32582519822338,,
B-interface,external,val,all,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-interface,external,val,native_all,global_mean,6.070032047230181,26.391119169161993,32.46115126473699,32.43002077389663,,
B-interface,external,val,native_all,model,7.07662921599088,32.88846257516558,39.96509186055659,39.934045340024454,0.4542794411310728,0.02806164916725472
B-interface,external,val,native_all,no_change,6.347072728181362,27.364456687918732,33.711529335853925,33.67961249508778,,
B-interface,external,val,native_all,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-interface,external,val,native_common,global_mean,6.0193024938351,26.27548722213913,32.29478976920751,32.26318116101522,,
B-interface,external,val,native_common,model,7.019869891523082,32.76114049015444,39.7810104551058,39.74948796793401,0.49167076301064166,0.028677641052184757
B-interface,external,val,native_common,no_change,6.293661360476037,27.237443619138734,33.53110489231618,33.498697874366776,,
B-interface,external,val,native_common,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-interface,external,val,seen,global_mean,4.7603540020359025,20.510574426231344,25.270928454076326,25.24242623679613,,
B-interface,external,val,seen,model,5.882172850122761,27.333422793907772,33.21559570273376,33.188262321006796,0.2871402238287546,0.024929350950699532
B-interface,external,val,seen,no_change,4.899823893799088,20.769979508824175,25.66980334117132,25.64101523527945,,
B-interface,external,val,seen,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-interface,external,val,unseen,global_mean,7.532479180755867,28.36997667003747,35.90245557137101,35.90214720794425,,
B-interface,external,val,unseen,model,8.777220205599837,34.14815809415563,42.92537846409693,42.92513211264426,0.0537066824031296,0.01740846305889297
B-interface,external,val,unseen,no_change,7.726731053203646,28.79131102750973,36.51804270897088,36.5176776576491,,
B-interface,internal,train,all,global_mean,4.7821756688303445,21.462898862793285,26.245074522533013,26.213282609438906,,
B-interface,internal,train,all,model,5.73237939063317,28.03812476447892,33.77050412450139,33.738775278690966,,
B-interface,internal,train,all,no_change,4.916012202918124,21.727943184290165,26.64395539941334,26.61177254528374,,
B-interface,internal,train,all,perturbation_mean,1.8745978493928293,13.445245789727304,15.319843633887993,15.314952210721614,,
B-interface,internal,train,native_all,global_mean,6.598906102649646,29.44225125287439,36.04115734107547,35.98169327677518,,
B-interface,internal,train,native_all,model,7.490311018664367,35.861569320982845,43.35188030790399,43.29550946174471,,
B-interface,internal,train,native_all,no_change,6.891598627706891,30.529043171614877,37.4206418392367,37.35971229147134,,
B-interface,internal,train,native_all,perturbation_mean,3.193752260856875,21.014993349999695,24.208745603123322,24.197986135465925,,
B-interface,internal,train,native_common,global_mean,6.598906102649646,29.44225125287439,36.04115734107547,35.98169327677518,,
B-interface,internal,train,native_common,model,7.490311018664367,35.861569320982845,43.35188030790399,43.29550946174471,,
B-interface,internal,train,native_common,no_change,6.891598627706891,30.529043171614877,37.4206418392367,37.35971229147134,,
B-interface,internal,train,native_common,perturbation_mean,3.193752260856875,21.014993349999695,24.208745603123322,24.197986135465925,,
B-interface,internal,train,seen,global_mean,4.7821756688303445,21.462898862793285,26.245074522533013,26.213282609438906,,
B-interface,internal,train,seen,model,5.73237939063317,28.03812476447892,33.77050412450139,33.738775278690966,,
B-interface,internal,train,seen,no_change,4.916012202918124,21.727943184290165,26.64395539941334,26.61177254528374,,
B-interface,internal,train,seen,perturbation_mean,1.8745978493928293,13.445245789727304,15.319843633887993,15.314952210721614,,
B-interface,internal,val,all,global_mean,4.747498432803437,20.27004016061204,25.01753860605073,24.991051109417253,,
B-interface,internal,val,all,model,5.89737872755844,27.15835252102006,33.05573130994181,33.030201200461505,0.2685225051522359,0.024111561362881884
B-interface,internal,val,all,no_change,4.877595749017426,20.475006116899213,25.35260181546128,25.32582519822338,,
B-interface,internal,val,all,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-interface,internal,val,native_all,global_mean,6.070032047230181,26.391119169161993,32.46115126473699,32.43002077389663,,
B-interface,internal,val,native_all,model,7.07662921599088,32.88846257516558,39.96509186055659,39.934045340024454,0.4542794411310728,0.02806164916725472
B-interface,internal,val,native_all,no_change,6.347072728181362,27.364456687918732,33.711529335853925,33.67961249508778,,
B-interface,internal,val,native_all,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-interface,internal,val,native_common,global_mean,6.0193024938351,26.27548722213913,32.29478976920751,32.26318116101522,,
B-interface,internal,val,native_common,model,7.019869891523082,32.76114049015444,39.7810104551058,39.74948796793401,0.49167076301064166,0.028677641052184757
