export,role,model_id,panel,state,metric,contrast,pairs,undefined,unmatched_left,unmatched_right,delta,relative_improvement_pct,ci_low,ci_high
external,val,ACH-000551,all,B-unfreeze,without_own_response_loss,wrong_minus_correct,983,0,0,0,1.29151244626768,,0.9816652299137832,1.616889642430346
external,val,ACH-000551,native_all,B-continue,response_loss,wrong_minus_correct,196,0,0,0,0.7281886599501782,,0.5253459521033326,0.9341950524400687
external,val,ACH-000551,native_all,B-continue,mean_delta_mse,wrong_minus_correct,196,0,0,0,0.12083567826419463,,0.08579247099100332,0.15489719057284604
external,val,ACH-000551,native_all,B-continue,energy_distance,wrong_minus_correct,196,0,0,0,0.6073529613261319,,0.44000788241016614,0.775552973844567
external,val,ACH-000551,native_all,B-continue,without_own_response_loss,wrong_minus_correct,196,0,0,0,0.7289104948238451,,0.5265111112290499,0.934358982924296
external,val,ACH-000551,native_all,B-init,response_loss,wrong_minus_correct,196,0,0,0,-0.010864974041372854,,-0.16647755836953612,0.13458778459198978
external,val,ACH-000551,native_all,B-init,mean_delta_mse,wrong_minus_correct,196,0,0,0,-0.001377276985013386,,-0.035633363237187216,0.031895540101186705
external,val,ACH-000551,native_all,B-init,energy_distance,wrong_minus_correct,196,0,0,0,-0.009486544862090041,,-0.13264161324014723,0.10674830689721332
external,val,ACH-000551,native_all,B-init,without_own_response_loss,wrong_minus_correct,196,0,0,0,-0.010983618911430251,,-0.1664995395893909,0.13454827834149163
external,val,ACH-000551,native_all,B-interface,response_loss,wrong_minus_correct,196,0,0,0,0.49602719399393846,,0.3608629824008263,0.639283958545753
external,val,ACH-000551,native_all,B-interface,mean_delta_mse,wrong_minus_correct,196,0,0,0,0.08187266284105726,,0.05921661109834603,0.10565651491474436
external,val,ACH-000551,native_all,B-interface,energy_distance,wrong_minus_correct,196,0,0,0,0.4141545509805485,,0.3014840308987365,0.5343315073908593
external,val,ACH-000551,native_all,B-interface,without_own_response_loss,wrong_minus_correct,196,0,0,0,0.4969286789699478,,0.36150209368491676,0.6401691313909025
external,val,ACH-000551,native_all,B-joint,response_loss,wrong_minus_correct,196,0,0,0,0.024477036145266362,,-0.005934080785636806,0.05952781794022255
external,val,ACH-000551,native_all,B-joint,mean_delta_mse,wrong_minus_correct,196,0,0,0,0.003161166638744215,,-0.012651003745137454,0.017732856176337623
external,val,ACH-000551,native_all,B-joint,energy_distance,wrong_minus_correct,196,0,0,0,0.021315967793368563,,-0.007156091028328199,0.05133693928621379
external,val,ACH-000551,native_all,B-joint,without_own_response_loss,wrong_minus_correct,196,0,0,0,0.024463497862523192,,-0.005947025844030045,0.05952967312871092
external,val,ACH-000551,native_all,B-unfreeze,response_loss,wrong_minus_correct,196,0,0,0,3.671776605138973,,2.5949281775039066,4.784525028929419
external,val,ACH-000551,native_all,B-unfreeze,mean_delta_mse,wrong_minus_correct,196,0,0,0,0.6012881259833064,,0.418979835900269,0.7931036301751678
external,val,ACH-000551,native_all,B-unfreeze,energy_distance,wrong_minus_correct,196,0,0,0,3.070488614452129,,2.1777100166009395,3.9851138360159744
external,val,ACH-000551,native_all,B-unfreeze,without_own_response_loss,wrong_minus_correct,196,0,0,0,3.6722852885723114,,2.5956902865761395,4.784663893604765
external,val,ACH-000551,native_common,B-continue,response_loss,wrong_minus_correct,193,0,0,0,0.7949949427589853,,0.5724991790000641,1.0325464235377435
external,val,ACH-000551,native_common,B-continue,mean_delta_mse,wrong_minus_correct,193,0,0,0,0.13118350562190761,,0.09406321807711393,0.17060300230690387
external,val,ACH-000551,native_common,B-continue,energy_distance,wrong_minus_correct,193,0,0,0,0.6638113861874594,,0.48224160821944306,0.8581193028583426
external,val,ACH-000551,native_common,B-continue,without_own_response_loss,wrong_minus_correct,193,0,0,0,0.796062688876928,,0.572908080451847,1.0326106216993975
external,val,ACH-000551,native_common,B-init,response_loss,wrong_minus_correct,193,0,0,0,-0.014260374079096326,,-0.18806758623667044,0.15034216727617813
external,val,ACH-000551,native_common,B-init,mean_delta_mse,wrong_minus_correct,193,0,0,0,-0.0022214464573041244,,-0.038602643037707475,0.03307979193376175
external,val,ACH-000551,native_common,B-init,energy_distance,wrong_minus_correct,193,0,0,0,-0.01203739778983031,,-0.1473534001958182,0.11782342386986995
external,val,ACH-000551,native_common,B-init,without_own_response_loss,wrong_minus_correct,193,0,0,0,-0.01435379265503468,,-0.18808833502735128,0.15018150250529225
external,val,ACH-000551,native_common,B-interface,response_loss,wrong_minus_correct,193,0,0,0,0.5239390089104212,,0.3877138587106694,0.6761799848512043
external,val,ACH-000551,native_common,B-interface,mean_delta_mse,wrong_minus_correct,193,0,0,0,0.08632916531723397,,0.06395080156585714,0.11262753514582624
external,val,ACH-000551,native_common,B-interface,energy_distance,wrong_minus_correct,193,0,0,0,0.4376098790934667,,0.32282060455164147,0.5639233386578338
external,val,ACH-000551,native_common,B-interface,without_own_response_loss,wrong_minus_correct,193,0,0,0,0.5250611720307502,,0.38861325154032716,0.6781272666133124
external,val,ACH-000551,native_common,B-joint,response_loss,wrong_minus_correct,193,0,0,0,0.02272984005626628,,-0.011892799021668168,0.05774751435907235
external,val,ACH-000551,native_common,B-joint,mean_delta_mse,wrong_minus_correct,193,0,0,0,0.0036742482160655784,,-0.0111448421873578,0.01950943398352126
external,val,ACH-000551,native_common,B-joint,energy_distance,wrong_minus_correct,193,0,0,0,0.019055571086666452,,-0.014368451370474678,0.05078713016806557
external,val,ACH-000551,native_common,B-joint,without_own_response_loss,wrong_minus_correct,193,0,0,0,0.022712272683574248,,-0.011939205110381037,0.05771313603060224
external,val,ACH-000551,native_common,B-unfreeze,response_loss,wrong_minus_correct,193,0,0,0,4.199369742586206,,3.1082485287485953,5.479318300745032
external,val,ACH-000551,native_common,B-unfreeze,mean_delta_mse,wrong_minus_correct,193,0,0,0,0.6858502025817341,,0.49779072465654944,0.9031125840008105
external,val,ACH-000551,native_common,B-unfreeze,energy_distance,wrong_minus_correct,193,0,0,0,3.513519698227008,,2.6106934858727335,4.586539054831075
external,val,ACH-000551,native_common,B-unfreeze,without_own_response_loss,wrong_minus_correct,193,0,0,0,4.2002691466573605,,3.108845432867041,5.4814897424260565
external,val,ACH-000551,seen,B-continue,response_loss,wrong_minus_correct,874,0,0,0,0.2581762001225277,,0.18796569972343793,0.33407703724414856
external,val,ACH-000551,seen,B-continue,mean_delta_mse,wrong_minus_correct,874,0,0,0,0.042248365837117365,,0.03002001658853494,0.05559870447336913
external,val,ACH-000551,seen,B-continue,energy_distance,wrong_minus_correct,874,0,0,0,0.21592783982475508,,0.15811846263894228,0.27883319566669945
external,val,ACH-000551,seen,B-continue,without_own_response_loss,wrong_minus_correct,874,0,0,0,0.25864200690245465,,0.1890613976864302,0.33456540944101604
external,val,ACH-000551,seen,B-init,response_loss,wrong_minus_correct,874,0,0,0,-0.006154554004798606,,-0.07810410750539559,0.0727438865155344
external,val,ACH-000551,seen,B-init,mean_delta_mse,wrong_minus_correct,874,0,0,0,-0.0014192834326003216,,-0.01653663546869888,0.014998011447199675
external,val,ACH-000551,seen,B-init,energy_distance,wrong_minus_correct,874,0,0,0,-0.004735294577729652,,-0.061542481655928745,0.05685213329044773
external,val,ACH-000551,seen,B-init,without_own_response_loss,wrong_minus_correct,874,0,0,0,-0.006188210633579531,,-0.07817963475766206,0.07272993580973379
