job_key,evaluation_scope,fold,feature_set,model,weighting,rank,perturbation_gene,y_true,y_pred,predicted_dependency_score,observed_n_cells,target_gene_index,top_k
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,5,SNRPA1,-2.4326064586639404,-1.9541734741044714,1.9541734741044714,159,6106,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,6,RPL26,-1.9142776727676392,-1.9467568157607702,1.9467568157607702,209,6612,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,7,RPS23,-2.412585496902466,-1.8922962345281906,1.8922962345281906,114,2404,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,8,NOL6,-1.251713514328003,-1.8670354215268496,1.8670354215268496,114,3846,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,9,PSMB6,-1.8859609365463257,-1.8539658794167477,1.8539658794167477,200,6565,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,10,PRPF4,-1.2348960638046265,-1.8490407306453374,1.8490407306453374,117,3983,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,11,NAA38,-0.2616722583770752,-1.8143630872833023,1.8143630872833023,368,6604,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,12,DDX18,-1.0793653726577759,-1.7425908243813353,1.7425908243813353,137,1210,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,13,CNOT1,-0.951513409614563,-1.7176986279535864,1.7176986279535864,269,6399,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,14,IMP4,-1.5236902236938477,-1.716299924639073,1.716299924639073,164,1238,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,15,SNRPF,-4.015231132507324,-1.714154205612752,1.714154205612752,130,5219,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,16,LSM4,-1.3871525526046753,-1.7025119250734837,1.7025119250734837,84,7418,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,17,EIF2S1,-2.189678192138672,-1.589740058602132,1.589740058602132,243,5723,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,18,RBX1,-0.8779969811439514,-1.566282261721067,1.566282261721067,57,8234,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,19,RPA2,-1.4370954036712646,-1.5614354291660475,1.5614354291660475,225,163,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,20,CDC6,-0.9472684860229492,-1.5499412779158783,1.5499412779158783,192,6746,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,1,RPL23,-2.5948612689971924,-2.321271856500423,2.321271856500423,398,6729,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,2,SNRPD2,-2.6352133750915527,-2.192065335620777,2.192065335620777,19,7597,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,3,RPL8,-2.779572010040283,-2.1817354120990173,2.1817354120990173,384,3811,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,4,RPL35,-1.01491379737854,-2.1337180125547386,2.1337180125547386,46,4008,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,5,RPS7,-2.0644373893737793,-2.123544961114878,2.123544961114878,265,899,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,6,RPS19,-2.861461877822876,-2.061368683684845,2.061368683684845,422,7556,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,7,POT1,-0.4019472897052765,-2.021516109907528,2.021516109907528,5,3418,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,8,NOP2,-1.3347033262252808,-1.9503743195852379,1.9503743195852379,58,4951,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,9,LSM6,-0.7853493690490723,-1.928260805701146,1.928260805701146,461,2209,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,10,DDX24,-0.6965067982673645,-1.919842472160058,1.919842472160058,286,5799,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,11,CDC5L,-2.5401458740234375,-1.8525647277858048,1.8525647277858048,99,2900,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,12,NDUFA2,-1.03433096408844,-1.845532160635247,1.845532160635247,187,2524,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,13,RPS3,-2.1233606338500977,-1.8132582640311812,1.8132582640311812,276,4793,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,14,EP400,-0.9773048162460327,-1.7554755397815238,1.7554755397815238,82,5379,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,15,HNRNPK,-1.8873178958892822,-1.7515357320415148,1.7515357320415148,25,3899,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,16,DNTTIP2,-0.5360137820243835,-1.749580433880717,1.749580433880717,264,429,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,17,SNRNP70,-0.66417396068573,-1.7328367648986243,1.7328367648986243,129,7639,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,18,SMU1,-3.3678059577941895,-1.7234867818991328,1.7234867818991328,155,3841,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,19,PSMA6,-3.143573045730591,-1.7106615857129603,1.7106615857129603,40,5640,20
internal_cv_all|0|delta_all|pca20_random_forest|unweighted,internal_cv_all,0,delta_all,pca20_random_forest,unweighted,20,PRPF3,-1.0444562435150146,-1.6733279746362202,1.6733279746362202,143,534,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,1,RPS27A,-2.16835355758667,-2.4580092257160153,2.4580092257160153,97,1036,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,2,RPS13,-1.4239979982376099,-2.2147761949134614,2.2147761949134614,135,4520,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,3,PSMA4,-1.0924605131149292,-2.182894035634587,2.182894035634587,388,6044,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,4,RPL19,-2.119680881500244,-2.132551982828828,2.132551982828828,238,6731,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,5,RPL38,-0.619983971118927,-2.102963408041438,2.102963408041438,184,6939,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,6,RPL24,-2.27213454246521,-2.0713987353039496,2.0713987353039496,460,1738,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,7,RPS5,-1.0751681327819824,-2.0598739087098763,2.0598739087098763,144,7733,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,8,FBL,-1.3066600561141968,-2.0261773973259185,2.0261773973259185,132,7535,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,9,TSR2,-1.173337459564209,-1.9694975440839053,1.9694975440839053,523,8385,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,10,EIF3A,-1.8259128332138062,-1.9344741389855657,1.9344741389855657,379,4403,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,11,RPL9,-2.2644529342651367,-1.916131219010299,1.916131219010299,242,2034,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,12,U2AF1,-1.8897511959075928,-1.894164739626857,1.894164739626857,141,-1,20
internal_cv_all|1|delta_all|pca20_random_forest|unweighted,internal_cv_all,1,delta_all,pca20_random_forest,unweighted,13,RPL10,-2.017896890640259,-1.8559712128123715,1.8559712128123715,276,8526,20
