depmap_column,gene_symbol,entrez_id,training_std,training_dependency_prevalence,training_line_count
GLMN (11146),GLMN,11146,0.29883739681099464,0.2727272727272727,33
GLRX5 (51218),GLRX5,51218,0.3010973776388415,0.5454545454545454,33
GMNN (51053),GMNN,51053,0.43179426289871425,0.5454545454545454,33
GMPS (8833),GMPS,8833,0.6945470006250498,0.7575757575757576,33
GOLGA7 (51125),GOLGA7,51125,0.3438779030974909,0.09090909090909091,33
GOLT1B (51026),GOLT1B,51026,0.30587627282764224,0.06060606060606061,33
GPI (2821),GPI,2821,0.3755885706428532,0.36363636363636365,33
GPX4 (2879),GPX4,2879,0.5647548592387939,0.45454545454545453,33
GRB2 (2885),GRB2,2885,0.5466046812653519,0.6060606060606061,33
GRSF1 (2926),GRSF1,2926,0.3010375706855217,0.3333333333333333,33
GTF3C3 (9330),GTF3C3,9330,0.28791808785001044,0.3333333333333333,33
H2AX (3014),H2AX,3014,0.2944152717173317,0.696969696969697,33
H2BC5 (3017),H2BC5,3017,0.28965456070902196,0.5757575757575758,33
H2BC9 (8345),H2BC9,8345,0.3401792517449652,0.36363636363636365,33
HAPLN2 (60484),HAPLN2,60484,0.28809127983603,0.30303030303030304,33
HAPSTR1 (29035),HAPSTR1,29035,0.3062667665266353,0.36363636363636365,33
HARS2 (23438),HARS2,23438,0.36939809641164334,0.5454545454545454,33
HAUS8 (93323),HAUS8,93323,0.2957627339282124,0.7575757575757576,33
HECTD1 (25831),HECTD1,25831,0.32624923114408766,0.30303030303030304,33
HEMK2 (29104),HEMK2,29104,0.41366448074257756,0.5757575757575758,33
HMBS (3145),HMBS,3145,0.28603137339498225,0.09090909090909091,33
HNF1A (6927),HNF1A,6927,0.41999173503064763,0.09090909090909091,33
HNF1B (6928),HNF1B,6928,0.4654119364916149,0.12121212121212122,33
HNRNPA2B1 (3181),HNRNPA2B1,3181,0.28387059371269074,0.21212121212121213,33
HNRNPR (10236),HNRNPR,10236,0.29090144810536844,0.2727272727272727,33
HSD17B10 (3028),HSD17B10,3028,0.3688664119032964,0.42424242424242425,33
HSP90B1 (7184),HSP90B1,7184,0.3841465224298702,0.5454545454545454,33
HSPA8 (3312),HSPA8,3312,0.5579577180829195,0.3333333333333333,33
HUS1 (3364),HUS1,3364,0.3322113092620644,0.5454545454545454,33
HYCC2 (285172),HYCC2,285172,0.3159542838275771,0.09090909090909091,33
ICE2 (79664),ICE2,79664,0.3584927191691081,0.5757575757575758,33
IDH3A (3419),IDH3A,3419,0.41516243125831487,0.36363636363636365,33
IER3IP1 (51124),IER3IP1,51124,0.35120525804855984,0.24242424242424243,33
IGF1R (3480),IGF1R,3480,0.43316374484127934,0.21212121212121213,33
ILK (3611),ILK,3611,0.3708419267318767,0.3333333333333333,33
IMPDH2 (3615),IMPDH2,3615,0.541159602789741,0.5151515151515151,33
INTS15 (79034),INTS15,79034,0.2841059240086488,0.5151515151515151,33
INTS6 (26512),INTS6,26512,0.8987427968771396,0.7575757575757576,33
IPPK (64768),IPPK,64768,0.41157309609928994,0.30303030303030304,33
IRF2BP2 (359948),IRF2BP2,359948,0.31077694927817107,0.12121212121212122,33
IRS2 (8660),IRS2,8660,0.40654202494238945,0.18181818181818182,33
ISCA2 (122961),ISCA2,122961,0.2915974011314014,0.7878787878787878,33
ITGAV (3685),ITGAV,3685,0.4520227267586846,0.6666666666666666,33
ITGB1 (3688),ITGB1,3688,0.41133527223867256,0.09090909090909091,33
ITGB5 (3693),ITGB5,3693,0.4498802710937018,0.5454545454545454,33
JTB (10899),JTB,10899,0.3219815924905625,0.12121212121212122,33
JUN (3725),JUN,3725,0.34594243329025953,0.15151515151515152,33
KANSL1 (284058),KANSL1,284058,0.34767037956138375,0.7272727272727273,33
KATNB1 (10300),KATNB1,10300,0.32806144285660005,0.3333333333333333,33
KCMF1 (56888),KCMF1,56888,0.43962240479729736,0.7878787878787878,33
KCTD5 (54442),KCTD5,54442,0.3422748888443445,0.09090909090909091,33
KDM2A (22992),KDM2A,22992,0.30866516754977547,0.5151515151515151,33
KEAP1 (9817),KEAP1,9817,0.3480242272788283,0.12121212121212122,33
KIF14 (9928),KIF14,9928,0.3402863818412546,0.48484848484848486,33
KIF18B (146909),KIF18B,146909,0.3268145699989287,0.42424242424242425,33
KIF20A (10112),KIF20A,10112,0.3101764038611195,0.48484848484848486,33
KIF4A (24137),KIF4A,24137,0.37942708532652236,0.6666666666666666,33
KLF5 (688),KLF5,688,0.5576564334645385,0.21212121212121213,33
KNTC1 (9735),KNTC1,9735,0.4208748690249365,0.30303030303030304,33
KRAS (3845),KRAS,3845,1.0162782300613047,0.7878787878787878,33
KRTCAP2 (200185),KRTCAP2,200185,0.2925421472117087,0.09090909090909091,33
LAMTOR2 (28956),LAMTOR2,28956,0.33601829414984724,0.42424242424242425,33
LDB1 (8861),LDB1,8861,0.4676139458109566,0.18181818181818182,33
LDLR (3949),LDLR,3949,0.2931024116763221,0.21212121212121213,33
LIPT1 (51601),LIPT1,51601,0.32173313625547595,0.24242424242424243,33
LMNA (4000),LMNA,4000,0.31864266075953135,0.21212121212121213,33
LRPPRC (10128),LRPPRC,10128,0.375111828548862,0.6060606060606061,33
LSM12 (124801),LSM12,124801,0.33464876939958216,0.5151515151515151,33
MAD2L1BP (9587),MAD2L1BP,9587,0.2868961637466641,0.5757575757575758,33
